agency_id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_network
hkir_V-13657,hkir_V-13657-H-3-8B,8B,Kenessey Kórház - Arany J. út - Szabó L. iskola - Volán telep,3,,152B32,FFFFFF,local
hkir_V-14456,hkir_V-14456-H-3-1,1,Autóbusz-állomás - Drahos István utca,3,,152B32,FFFFFF,local
hkir_V-14456,hkir_V-14456-H-3-3,3,Hékéd - Autóbusz-állomás - Tesco áruház,3,,152B32,FFFFFF,local
hkir_V-14456,hkir_V-14456-H-3-3A,3A,Hékéd - Autóbusz-állomás - Tesco áruház,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-1,1,Autóbusz-állomás - Kórház,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-12,12,Kórház - Autóbusz-állomás - Március 15. u. - Autóbusz-állomás - Kórház,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-2,2,Kórház - Ruhagyár,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-20,20,Kórház - Autóbusz-állomás - Szentsimon,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-20A,20A,Autóbusz-állomás - Szentsimon,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-21,21,Kórház - Autóbusz-állomás - Március 15. u. - Autóbusz-állomás - Kórház,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-23,23,Center forduló - Petőfi tér - Autóbusz-állomás - Bolyki T. u. ált. isk./Ruhagyár,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-26,26,Autóbusz-állomás - Bolyki T. u. ált. isk. - Somsály,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-2A,2A,Autóbusz-állomás - Ruhagyár,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-3,3,Autóbusz-állomás - Center forduló,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-4,4,Kórház - Autóbusz-állomás - Vasútállomás - Új köztemető,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-47,47,Autóbusz-állomás - Új köztemető - Szenna - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-6,6,Autóbusz-állomás - Nyárjasalja út - Somsály,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-63,63,Somsály - Center forduló,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-68,68,Somsály - Autóbusz-állomás - Uraj - Susa,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-7,7,Autóbusz-állomás - Vasútállomás - Szenna,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-74,74,Autóbusz-állomás - Szenna - Új köztemető - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-76,76,Szenna - Autóbusz-állomás - Somsály,3,,152B32,FFFFFF,local
